电影名,年份,时长,评论,下载链接,导演,主演,分类,地区,评分,计划观看人数,简介
儿子,1991,121,出了个流媒体的啦,"http://pan.baidu.com/s/1o8mOKt0 密码:t6kb, http://www.pniao.com/p/zimu/9/1528443664.srt, magnet:?xt=urn:btih:23E515482388AD955F09CA908E0AD0DDC3BC0A04&www=pniao.com, magnet:?xt=urn:btih:21564CFD301693E07C866F1AA7E5405066F462F2&www=pniao.com",山田洋次,三国连太郎,"剧情,喜剧,爱情",日本,8.8,48,山田洋次导演作品。1991年日本旬报十佳影片第一位，根据椎名诚小说《仓库作业员》改编，并荣获1992年日本电影学院奖最佳作品、最佳男主、最佳男配、最佳女配和最佳新人奖，影片讲述了浅野哲夫是东京新宿一家小酒馆的临时工，一天下班后父亲打来电话叫...
最好的世界,2017,103,,https://pan.baidu.com/s/1iOBltvQPOAL_Low3-8P4Eg 密码:p7j8,AdrianGoiginger,VerenaAltenberger,剧情,奥地利,,37,奥地利和德国合拍的童影，入围第67届柏林国际电影节德国视角单元，本片改编自真实事件，七岁的阿德里安在以文化和古典音乐而闻名世界的奥地利萨尔茨堡的地下毒品环境成长。他的母亲海尔格在她的毒瘾和对儿子的爱之间挣扎。尽管在这样的环境下，阿德里安仍有...
良种动物,2017,90,字幕点不开这个什么时候出啊,"https://pan.baidu.com/s/14Mi9442N_nWCjOmwQWu86w 密码:s72v, http://www.pniao.com/p/zimu/11/1527291518.rar, ed2k://|file|良z动w.720p.BD中英双字(pniao.com).mp4|605856117|EDE0B2BB4B0CB9C3352A5C0DC4721311|h=G6BMDRC6WRNELVBBWO75M4DHILA2JN42|/, magnet:?xt=urn:btih:af23e3383981285f37aaa46697811d7d3670cd54&www=pniao.com, magnet:?xt=urn:btih:2e2dc23fd9ef3ab1a4030d0fe40c50c98ba3db8f&www=pniao.com, magnet:?xt=urn:btih:5DE938EFA0A59FA78DE1273503A1487344639052&www=pniao.com, magnet:?xt=urn:btih:399FE3832ECF236465C74AFD5FF464CCA9C3EA8B&www=pniao.com, magnet:?xt=urn:btih:C945E630FEF38C8216D14994F8FE75711DC0B12F&www=pniao.com, magnet:?xt=urn:btih:81FB50EBC4B2028277E995E11C58BDCC6E6822A3&www=pniao.com, magnet:?xt=urn:btih:C573930365A0F62C6BFD5D2B876227134F4761A0&www=pniao.com, magnet:?xt=urn:btih:B288818A41210FB5631D077853BA0D7E419FEA68&www=pniao.com, magnet:?xt=urn:btih:C8F40AA0524502A8D993454B4B4C4187590B0553&www=pniao.com, magnet:?xt=urn:btih:63A87206AFC85F8F33C4424E358CC9D366E4EFD3&www=pniao.com",科瑞·芬莱,安雅·泰勒-乔伊,"剧情,惊悚",美国,6.2,142,该片年初在圣丹斯电影节收获了不错的评价，烂番茄86%，MTC75，导演科瑞·芬莱的长片处女作，英国古典小美女安雅·泰勒-乔伊、奥利维亚·库克、安东·叶利钦主演的惊悚片。讲述儿时玩伴Lily和Amanda在多年的分别后于康涅狄格郊区重聚，一位...
湮灭,2018,115,网盘下，百度，呃。大神，这次资源都下不了。。电影院看完想看看删减的部分 下不了 等下映了资源下不了了版权要求，无法下载谢谢胖鸟。您好，网站侵权提供影片《湮灭》播放，请您配合删除，感谢！需要权利文件请联系lifeng@qianchengad.com碰瓷fuck呵呵……滚、感激，爱你！谢谢！出了？！惊喜！！！迅雷下得动不？百度云盘的下载完了，没有声音，都是滋滋的噪音，大家都这样吗播放器的问题，我开始用射手也是有噪音，换成PotPlayer就正常了，你可以试试。我演过的电影，希望大家喜欢-.--.-今天是植树节，我要在你心里种点B树1080p的速度比720p的速度快很多小生，磁力保存到度盘离线下载，不动诶，没有进度，汗哒哒可以出个云盘吗？么么哒度盘出了等度盘,"http://www.pniao.com/p/zimu/9/1520843336.rar, ed2k://|file|湮灭.Annihilation.2018.1080p.NF.WEB-DL.DD5.1.x264-NTG-CN(pniao.com).mp4|2325909924|1c23d21940bc6d5bfe0de29cafeca9b2|h=dcthbnbfynytf4mjlvdzg6vzgsgnaj4j|/, ed2k://|file|湮灭.Annihilation.2018.1080p.WEB.x264-CHS.小愿8压制组(pniao.com).mp4|1339809604|6A7E629BB316C690D0BB720C3EFCE3C3|h=3ICGEZRYCM6GI3Q3UJJQYZA4JGTHHTOD|/, magnet:?xt=urn:btih:16934059C16B9EEAC243E8B8A5CFE0E2B2865401&www=pniao.com, magnet:?xt=urn:btih:D09DEFC165B22FE5E020C7FBDD955896BA404D9C&www=pniao.com, magnet:?xt=urn:btih:D1A258ACAD1596E5D5568BFD573D27C206C6CC7B&www=pniao.com, magnet:?xt=urn:btih:24982f246fea2112a0d120bf02fd96482e122ed1&www=pniao.com, magnet:?xt=urn:btih:cb1d9705e5f5a761d6ea00ef5012f72fc1d7a91d&www=pniao.com, magnet:?xt=urn:btih:6FB4A91ED51F1EB8860C85D23FEB6DD7D09CEF1B&dn&www=pniao.com, magnet:?xt=urn:btih:90411c0de08eba403a2bc04fe536e417e19eee72&www=pniao.com, magnet:?xt=urn:btih:48A3F899889ACE44F695BA169B41E9E79CA69AC3&www=pniao.com, magnet:?xt=urn:btih:0DEA0D8AD0F58B3F91D4FE1EF816BEDB12A14494&www=pniao.com, magnet:?xt=urn:btih:F9B17C13CE586CF540EC1FBF02EE4558D2D55F7A&www=pniao.com, magnet:?xt=urn:btih:E821AF70B1490123D5F798A3BC08D43C592BE535&www=pniao.com, magnet:?xt=urn:btih:f8638dad0f926ae77e6acf687abeb0f21f3a0df3&www=pniao.com, magnet:?xt=urn:btih:0dc2d0637fcf8b6dfc1aeed8db71cce572f9d9b5&www=pniao.com, magnet:?xt=urn:btih:BC9BFCBFC702DCCC240E4CA63A271895C115123C&www=pniao.com, magnet:?xt=urn:btih:88D605CEA055CDF02F60CAE2EFFDCBBD97ED93AB&www=pniao.com, magnet:?xt=urn:btih:12D973F3E2CE86BB9F5BDA181FF190952EF5F6F4&www=pniao.com, magnet:?xt=urn:btih:2a69b0c943f5709eb20807b5a7e25cb9c7cc56e3&www=pniao.com, magnet:?xt=urn:btih:4ae3b746bd8d73a247734d50c616b84f1fd15ef4&&www=pniao.com, magnet:?xt=urn:btih:64bbf24e766c78565245a0bea856768d946a9a18&www=pniao.com",亚历克斯·加兰,娜塔莉·波特曼,"科幻,悬疑,惊悚",美国,7.2,465,Netflix年度科幻大片，《机械姬》导演亚历克斯·加兰新作，娜塔莉·波特曼主演，改编自2014年击败《三体》获得星云奖最佳长篇小说的《遗落的南境》。外网口碑已爆，烂番茄新鲜度90%，MTC评分高达81，讲述了莉娜的丈夫在执行秘密任务时消失...
我需要你,2012,123,,"http://pan.baidu.com/s/12Gpw, ed2k://|file|Tengo.ganas.de.ti.2012.我需要你.中西双语字幕.HR-HDTV.AC3.1024X576.x264-人人影视制作V2.mkv|2028232640|f340bae66c880328603adb5d27e80c7b|h=636s57tmgqlxeoggvrlj4hheizsslv5p|/, ed2k://|file|Tengo.ganas.de.ti.720p.BluRay.x264.DTS-HDChina.mkv|7039967015|CB29B42C0A76428FF32E41BC0BFF3298|h=JSUAVRTX62SQLGOELM63B2KA5GZTEFW6|/, magnet:?xt=urn:btih:e5fec5655d0d5780dcd99d275da1c9f4f2b3a751&www=pniao.com, magnet:?xt=urn:btih:5CB8EE5C6471C76D40C72216180638424E1C7F4C&www=pniao.com, magnet:?xt=urn:btih:18096DD191DD456732BDD8B92B89629058F82229&www=pniao.com, magnet:?xt=urn:btih:33203695886511b551b336f457250e5b01fe0c13&www=pniao.com",费尔南多·冈萨雷斯·莫利纳,马里奥·卡萨斯,"剧情,喜剧,爱情",西班牙,6,5,"《我想你》是2010年的《恋爱大过天》的续集。试图忘却上一段失败恋情的阿彻,旅居伦敦两年后返回巴塞罗那。面对熟悉的城市和朋友，还遇到了令他再次心动的女孩Gin，阿彻必须在亲情，友情，爱情和工作之间努力作出平衡。同时，芭比也再次出现，新欢与旧..."
黑豹,2018,134,"辛苦辛苦怎么下载？？回复下载感谢Good天天美剧的资源，第二个菜单并没有翻译…这资源无敌的说，厉害人人影视版本还下载不了，只下载了2.58G的那个版本各位大佬，为什么复制链接到百度云后格式错误呀喜欢国语音轨的辛苦了,小生不知道啥时候有国语音轨啊感谢分享感谢分享.1080p-RARBG.mp4 2.58GB 离线OK啊磁力下载跑不动，红海行动的种子也这样，换了几个下载器都差不多磁力你们下小体积的那个 5/6g以上的几乎不可能离线了 然后看的时候可以选择一下字幕（有）百度网盘挂了,小生网盘挂了用磁力离线坐等内嵌字幕吼吼????????支持楼主字幕这么快离线不了种子下载不了是肿么肥四求个体积在2G以内的，可以吗怎么有时候在线总是有转码哇 竟然已经出了哈哈哈哈等中字2分钟前更新，哈哈黑豹 Black Panther (2018)什么时候出itunes在线资源呢......还有哪里可以差到北美itunes电影上结时间大概什么时候会出蓝光啊蓝光最早6月了","http://www.pniao.com/p/zimu/9/1525228776.ass, ed2k://|file|黑豹.Black.Panther.2018.中英字幕.BDrip.AAC.720p.x264-人人影视.v2(pniao.com).mp4|2013774919|af3e374e4c647dc43ad71f3906d57380|h=jgl564cj47o4x4j5nlkf372w5l2kpzrv|/, magnet:?xt=urn:btih:CD925504F11981AAFB4BB6A255CBCEBFF09E8E4C&www=pniao.com, magnet:?xt=urn:btih:DB4FB96B7F6689DE6592C1D9B0EAE42DED61FFAF&www=pniao.com, magnet:?xt=urn:btih:2EAE8BD719BD5B2B36778ECFA55574C3729C8B2B&www=pniao.com, magnet:?xt=urn:btih:8490e6e72039d79b7181b59824a6802b392e2a0e&www=pniao.com, magnet:?xt=urn:btih:5A1BA795ADF454C169B42B6401F3FB858D1D8ACC&www=pniao.com, magnet:?xt=urn:btih:3418F9ECEA66EB70EBBA04FF800FCB27BD6790EF&www=pniao.com, magnet:?xt=urn:btih:6EDBD29DE7E7C73FFEF6A9D9BE8F5F7D2B2A22B2&www=pniao.com, magnet:?xt=urn:btih:5b2ea813c7eb6d36e7ace405d7f76b69254e5c89&www=pniao.com, magnet:?xt=urn:btih:b568e96168f646be81acf035aa09d33820e77366&www=pniao.com, magnet:?xt=urn:btih:360D597AE59FA4B6436EF1CA16A7064D94252EFD&www=pniao.com, magnet:?xt=urn:btih:A6D4DF5361227871429B1449207B0B7A08B039AF&www=pniao.com, magnet:?xt=urn:btih:8427B55AAB75FB68F4719B5E8E05F60244363F24&www=pniao.com, magnet:?xt=urn:btih:d6b8537a6d43718374625ae6fec65b3af91ad719&www=pniao.com, magnet:?xt=urn:btih:8d7210eee5fbae2f35ad84779706d5626d0a34d8&www=pniao.com, magnet:?xt=urn:btih:fd87798524c3d723c61f6012dfd561a4cce83cb4&www=pniao.com, magnet:?xt=urn:btih:ae9ca24b383db173b4086127795d0de3031534a4&www=pniao.com, magnet:?xt=urn:btih:AF17D6321B7A183B4335FFACCF73496FBD9C574A&www=pniao.com, magnet:?xt=urn:btih:BAEA58427F9EAE4082223B778FBDDFBBA9DFE743&www=pniao.com, https://share.weiyun.com/5MWWO03, magnet:?xt=urn:btih:bf8e7931c8806e2ba62d6cd67a9a52dc82dfd158&www=pniao.com, magnet:?xt=urn:btih:5b10e0d8254b02269173abfae3ca86e509da8091&www=pniao.com",瑞恩·库格勒,查德维克·博斯曼,"动作,科幻,冒险",美国,6.7,388,美国漫威影业公司出品的科幻动作电影，由瑞恩·库格勒执导，查德维克·博斯曼、迈克尔·B·乔丹、露皮塔·尼永奥、达娜·古瑞拉、马丁·弗瑞曼联合主演。影片根据漫威漫画改编，故事背景承接于《美国队长3：内战》，讲述了黑豹回到了瓦坎达担任国王，然而当...
天际行者,2018,140,,"magnet:?xt=urn:btih:F05C80E1E151F78E1CA5AEBB3F479D52B62FC24D&www=pniao.com, magnet:?xt=urn:btih:3A510ADA66B040DCD8FBA47F2BC3C6617FB81019&www=pniao.com, magnet:?xt=urn:btih:B72494B4177442359F84247ACF6B0E5E7ACC8EE8&www=pniao.com",德米特里·基谢廖夫,叶甫盖尼·米罗诺夫,"剧情,历史,冒险",俄罗斯,7.8,69,1965年，正值美国和俄罗斯先后准备向太空发射载人飞船之际，指挥官谢尔盖·科罗廖夫决定选派飞行员阿列克谢?列昂诺夫和帕维尔·贝尔耶夫执行首飞任务，提前于原计划两年执行。于此过程中，无论是两名宇航员还是指挥官和无数参与者，都面临着极大的压力和...
陪练人生,2017,95,,magnet:?xt=urn:btih:aad8e907d9e2cc9853aecbd738e5db89ee27787b&www=pniao.com,塞缪尔·朱义,马修·卡索维茨,剧情,法国,,5,塞缪尔·朱义导演处女作。斯蒂芬·兰德里是一个屡战屡败的老拳手，给新晋拳击冠军当陪练当他的人生开始不一样起来。
小雀岭,1923,39,,https://pan.baidu.com/s/13YsTJC-rUSKg8SYNxtTUsQ 密码:ekam,沼田红绿,市川小蝦,"剧情,短片",日本,,4,日本早期无声映画DVD系列之一。一部充满了父子亲情与人情味的温馨之作。知名演员坂东妻三郎早期的作品。本片描述了靠卖糖维生的少年德太郎，一边唱着死去的母亲教他的卖糖歌，一边寻找失散父亲的故事。
肖邦的青年时代,1952,121,,https://pan.baidu.com/s/1s4J5EEaTYquSuO2MmQk_TA 密码:2tg8,亚历山大·福特,CzeslawWollejko,"剧情,爱情,传记",波兰,7.5,5,入围第14届威尼斯电影节(1953)主竞赛单元。亚历山大·福特导演，1825-1831年是肖邦人格的形成期，也是全欧洲社会动荡的时期：民族主义不断高涨，人们强烈呼吁社会变革。肖邦作为一名学习音乐的优秀学生，内心充满了对祖国波兰的革命情怀。他...
危楼风波,1985,97,,https://pan.baidu.com/s/1IutUBc7Sk8m6GyfZznL2ng 密码:w7t2,艾尔达·桑杰拉亚,Ramaz,喜剧,格鲁吉亚,,9,年轻的作家经常出入一家出版社，希望他们能够出版自己的小说《蓝山》。他几乎把手稿发给每个人，但是这家出版社每个人似乎都有忙不完的事，从来没有人真正看过他的书。直到有一天它他终于收到评议委员会的通知，告诉他书名取得很好，内容则需要再考虑。情况继...
伊豆舞女,1963,87,,https://pan.baidu.com/s/1hsvRBGo 密码:4qm5,西河克己,吉永小百合,爱情,日本,8.3,26,根据川端康成早期中篇同名小说改编，由西河克己导演、吉永小百合主演电影。 讲述的是年轻学生利用假期外出旅行，在行至伊豆汤岛时，他邂逅了几位巡回表演的歌舞伎艺人的故事。 年轻学生（浜田光夫 饰）利用假期外出旅行，在行至伊豆汤岛时，他邂逅了几位巡...
小茅屋里的丽塔,1976,,就是，没有中字没有中文字幕，在线播放只有一个机译字幕。,https://pan.baidu.com/s/1s4J5EEaTYquSuO2MmQk_TA 密码:2tg8,BrankoBauer,斯拉夫科·斯提马科,"剧情,战争",南斯拉夫,,1,根据十三集南斯拉夫儿童电视连续剧——《萨拉斯的沼泽》缩编1976年版本的《萨拉斯的早晨》，战争已经抵达偏远vojvodansko村。德国通过开展村一组和人质的方式骚扰一个男孩，谁烧毁，以报复德国在邮件？伊藤端口。调查线索的城市，接近他呢？男...
梦断南洋,1995,94,,https://pan.baidu.com/s/1kYbvq_yoxUxQaDcfJyoTKg 密码:jdgs,王连平,何晴,剧情,中国大陆,6.7,3,西南边陲山寨也受到商品大潮的冲击，人们都向往富足美满的生活。谭小强在外国闯荡了几年，赚了钱回来，用上了摩托车，引来村民们羡慕的目光。尤其一些年轻人也作起了南洋梦。小强的女友高玉婉和玉婉弟弟的女友依香瞒着家里人，同小强悄悄走了，到异国去寻找他...
赵氏孤儿,2010,123,,"ed2k://|file|赵氏孤儿.Sacrifice.2010.BD.MiniSD-TLF.mkv|1028585507|BAC7A0011F98542A3F793334E20CA8DA|/, magnet:?xt=urn:btih:c7ae54fa165690f3013a3281bae2a20041407270&dn=赵氏孤儿.2010.中文字幕￡CMCT春树&www=pniao.com, magnet:?xt=urn:btih:b6139b4aa89a7ed30c195a1583a2f52e01e5c733&www=pniao.com, magnet:?xt=urn:btih:22bf1b0a24d429dda5671fd13821ef617bcdf3a2&dn=[2012.02.11]赵氏孤儿[2010年中国动作战争(MKV)]（帝国出品）&www=pniao.com",陈凯歌,葛优,"剧情,动作,历史",中国大陆,5.8,9,由陈凯歌执导葛优、王学圻、黄晓明、范冰冰、海清、鲍国安、张丰毅、赵文卓、王瀚、赵文浩等人主演的古装电影。改编自中国古典戏剧《赵氏孤儿》。 该片主要讲述民间医生程婴在机缘巧合中卷入了赵氏的灭门事件，并用药箱将赵氏孤儿带出，免遭毒手。而程婴因献...
武松,1982,94,,https://pan.baidu.com/s/1ne43KAPQLzG6C3WYWQnJ1Q 密码:srea,李翰祥,狄龙,"动作,爱情,武侠",香港,7.3,4,邵氏出品。本片为李翰祥导演得意作品之一，由狄龙饰武松、汪萍饰潘金莲、刘永饰西门庆、谷峰饰武大郎及王莱饰王婆。在1982年金马奖荣获三项大奖：汪萍获最佳女主角、谷峰获最佳男配角、刘季友及李燕萍获最佳服装设计。故事描述，县都头武松因受大嫂潘金莲...
烂头何,1979,103,,"https://pan.baidu.com/s/1XYPqpTAA2D2FGZLk1EwdUA 密码:vwxd, magnet:?xt=urn:btih:70d8e0aa0ad471bd5f3e5202619f95fa1a75baac&www=pniao.com",刘家良,刘家辉,"剧情,动作",香港,7.1,6,本片又名《烂头何》，由金牌武指刘家良担任导演及武打设计。七十年代武打明星汪禹、刘家辉、罗烈等人联袂主演。影片打斗设计巧妙，是邵氏出品的又一部动作影片佳作。值得一提的是，主演汪禹曾出演多部邵氏出品的动作片，其中以《鹿鼎记》中的韦小宝以及《笑傲...
战神纪,2018,119,,"magnet:?xt=urn:btih:21247B6CE42F6241B2BFF2501318965DF2EDDAA9&www=pniao.com, magnet:?xt=urn:btih:RCQEWILZDE5O4BTWD7PKCYZ6ME247JLZ&www=pniao.com",哈斯朝鲁,陈伟霆,"奇幻,冒险",中国大陆,4,9,少年铁木真(陈伟霆饰）身为部落首领之子，年幼丧父，母亲独自将他抚养成人，铁木真成人之际返回翁吉剌部落迎娶自幼定有婚约的孛尔帖（林允饰），谁知途中却逐步陷入叔父（赵立新饰）设置的杀戮陷阱，而青梅竹马的恋人孛尔帖也在新婚之夜被另一部落首领忽出鲁...
桥,1969,105,,"https://pan.baidu.com/s/14DIkTO6SsmqgcPCLqP-ljg 密码:hs88, ed2k://|file|Most.1969.DVDRip.x264.2Audio.AC3-OTH.avi|1467084800|6F06276B57CEA31B66780FEAC3A21967|h=QNUQGXYT5EQ5OT7WVYU4DSOAHCJSJNTY|/, magnet:?xt=urn:btih:626A9BE36C4FCA5A3593E6D8DF3940E942D91305&www=pniao.com, https://pan.baidu.com/s/1kw0zi1m18ykFRcRcjjeFtA 密码:8hu4",哈·克尔瓦瓦茨,韦利米尔·巴塔·日沃伊诺维奇,"动作,战争",南斯拉夫,8.8,21,1969年由南斯拉夫波斯纳电影制片厂出品的战争片。由哈·克尔瓦瓦茨执导，斯·佩洛维奇、韦利米尔·巴塔·日沃伊诺维奇、伊·加洛等人主演。 影片讲述的是1944年第二次世界大战接近尾声的时期，一小队南斯拉夫游击队员经过一系列周密的安排和惊险曲折...
不想恋爱,2017,117,封面好像刘诗诗……突然就有资源了。。。感谢感谢。,https://pan.baidu.com/s/1doA0BWqb_dIf07_Go3Z7Sw 密码:t5bs,大九明子,松冈茉优,爱情,日本,7.8,182,大九明子导演的爱情片，由松冈茉优主演，该片根据绵矢莉莎的同名小说改编，讲述了24岁浅没有恋爱经验的江藤良香纠结在幻想中的单恋和真实世界的恋爱中无法自拔的故事。 在电影版里，24岁了爱情方面还一片白纸的白领江藤良香，突然被同期男二号提出交往申...
安娜与国王,1999,148,,"http://www.pniao.com/p/zimu/11/1528505718.srt, magnet:?xt=urn:btih:57C3529665D3E3B736A570E396C0F6247CE197DC&www=pniao.com, magnet:?xt=urn:btih:777406fe49f1af8750068e9225ddd014df3cf386&www=pniao.com, magnet:?xt=urn:btih:46f31501023c0293ebdf9a0c1904bdbc11266593&dn=Anna.and.the.King.1999.1080p.AMZN.WEBRip.DDP2.0.x264-SiGMA&www=pniao.com",安迪·坦纳特,朱迪·福斯特,"剧情,喜剧,爱情",美国,6.7,9,本片根据史事改编，与1956年的黛博拉?蔻尔与尤?伯连纳（女男主角）版本相比，重新诠释了寡居的英籍女教师安娜?里欧诺文与暹罗（泰国旧称）国王之间著名的爱情故事。 19世纪60年代，安娜（朱迪?福斯特）携子来到暹罗，成为该国多妻多子的国王（周...
吉诺密欧与朱丽叶2：夏洛克·糯尔摩斯,2018,86,,"http://www.pniao.com/p/zimu/10/1527903037.rar, magnet:?xt=urn:btih:2490295dd3080108975274fd96048693cc2b0f6b&www=pniao.com, magnet:?xt=urn:btih:D094744645DD105BE132D66B4E7377D593862741&www=pniao.com, magnet:?xt=urn:btih:606E77D1C46DC6FF77FEA33AA649395F40F5E4F0&www=pniao.com",约翰·斯蒂文森,詹姆斯·麦卡沃伊,"喜剧,动画,冒险",英国,6.5,33,备受喜爱的花园装饰小矮人糯米欧（詹姆斯·麦卡沃伊JamesMcAvoy配音）和茱丽叶（艾米莉·布朗特EmilyBlunt配音）回来了，这回他们将前往伦敦展开全新的冒险旅程。当糯米欧和茱丽叶第一次和家人朋友来到这个城市的时候，他们最担心的就是...
最后证人,2018,97,BD-mkv那个版本真假，这片根本就还没发BD，哪来的BD-mkv？他家自己拍的吗？关于惨痛历史的影片，情感上都要加点分。感谢胖鸟。万分感谢字幕来啦辛苦字幕组了感谢胖鸟求字幕求字幕,"https://pan.baidu.com/s/1yjtbJaCmV6Jt0YksJtNxWw 密码:x6tc, http://www.pniao.com/p/zimu/11/1528104160.srt, magnet:?xt=urn:btih:996773796d08a226fb2af78e8441aa2a2931583d&www=pniao.com, magnet:?xt=urn:btih:12341a756052370fd275259ead242c9b49b72211&www=pniao.com, magnet:?xt=urn:btih:9809D10D1766F1B8F4AD986E65C8442663F82928&www=pniao.com, magnet:?xt=urn:btih:e6b0ae6dd889bdc3a0d6b1c09586e1836967fe81&www=pniao.com",PiotrSzkopiak,亚历克斯·帕蒂弗,惊悚,波兰,5.9,51,关于著名的卡廷惨案的影片，此片可以结合瓦伊达于07年拍的《卡廷惨案》一起看，这部讲述之后一英国记者对此事的调查。故事围绕记者斯蒂芬·安德伍德(帕蒂弗饰)展开，震惊世人的卡廷惨案22000余波兰人被残忍杀害，在安德伍德的抽丝剥茧中，发现事件实...
我不是女巫,2017,90,,"http://www.pniao.com/p/zimu/3/1528475122.srt, magnet:?xt=urn:btih:0b7d3c2e19b3a7c39e3be58bc1dfbb70e3cb8e64&www=pniao.com, magnet:?xt=urn:btih:f737ec03b8a13de4ac8a20e3bd793330e088a056&dn=I.Am.Not.A.Witch.2017.LIMITED.1080p.BluRay.x264-CADAVER&tr=http://tracker.trackerfix.com:80/announce&tr=udp://9.rarbg.me:2710&tr=udp://9.rarbg.to:2710&www=pniao.com",Rungano,Gloria,剧情,英国,,15,纯真8岁女孩，被诬控为邪恶女巫！ 世界无奇不有，小女孩竟是女巫？扰人异事发生在非洲尚比亚小村落，衰事来得又急又猛，受波及的倒楣村民将矛头指向刚好在现场的八岁女孩，说她就是扫把星、恶毒女巫！经过潦草的审判，女孩被当局判死，押送到女巫园区听候处...
金色梦乡,2018,109,啊哦，你所访问的页面不存在了。正常的 百度云的问题 再打开一次就可以了现在的韩国电影比较好看百度云传输失败，大概是视频文件有问题？百度云 用不了最近韩影怎么出的都这么快....韩剧的字幕在哪里找比较好啊？日版戏剧性太强，不知道韩版怎么样。百度云离线显示链接格式不对？,"https://pan.baidu.com/share/init?surl=tH8TbLJTKDdaA0O2JlCN4Q 密码:wz8a, http://www.pniao.com/p/zimu/2/1520556109.rar, magnet:?xt=urn:btih:C22E4531E1028DEF97595E38E83FF0802159A232&www=pniao.com, magnet:?xt=urn:btih:ccb5643d35abd327b067347571c8acd345013853&dn=阳光电影www.ygdy8.com.金色梦乡.BD.720p.韩语中字.mkv&tr=udp://tracker.leechers-paradise.org:6969/announce&tr=udp://eddie4.nl:6969/announce&tr=udp://shadowshq.eddie4.nl:6969/announce&tr=udp://tracker.opentrackr.org:1337/announce&www=pniao.com, magnet:?xt=urn:btih:40708B14DC98580A79686E78C54014BA46FCCA4F&www=pniao.com, magnet:?xt=urn:btih:BEA81352CEA1752721C7D6ECEE55F6C2F199C7BC&www=pniao.com",卢东硕,姜栋元,"剧情,悬疑",韩国,6.1,87,卢东石执导，姜栋元、韩孝周、金义城、金成钧等主演的惊悚电影，该片改编自伊坂幸太郎的小说，2010年堺雅人主演的《金色梦乡 》也是根据该小说改编，讲述的是普通的快递司机青柳，莫名背上暗杀新总统候补的罪名，并在好友和形形色色的人的帮助下一路逃亡...
身为人母,2006,137,,"http://pan.baidu.com/s/1c2itP7M 密码:k6g7, http://www.pniao.com/p/zimu/3/1515499763.rar, http://www.pniao.com/p/zimu/3/1528474847.rar, ed2k://|file|身为人母.Little.Children.2006.HDTV.MiniSD-TLF.mkv|849426410|23AEF6A30983192A4DE6FE24F099917F|/, magnet:?xt=urn:btih:7c191cf74f4b4694501a2f2521378987851d1cb4&www=pniao.com, magnet:?xt=urn:btih:41957f82bd0b097ce8b593be6b3a4d2de4114439&www=pniao.com, magnet:?xt=urn:btih:f84f78f07ae413a31d7442968aab5413cf8dcf0c&dn=Little.Children.2006.1080p.AMZN.WEBRip.DD5.1.x264-monkee&www=pniao.com",托德·菲尔德,凯特·温丝莱特,"剧情,爱情,家庭",美国,7.7,32,爱情片，由托德·菲尔德执导，凯特·温丝莱特、帕特里克·威尔森等主演， 该片讲述了年轻父亲布拉德和同样在家带着孩子做家务的年轻母亲萨拉之间的一段“精神婚外恋”故事。影片甚至吸收了希区柯克的惊悚元素。这部片子的演员让这部电影充满滑稽、性感和悲情...
英格丽向西行,2017,,,"http://pan.baidu.com/s/1hr4wCXQ 密码:ikjb, http://www.pniao.com/p/zimu/10/1528474781.srt, ed2k://|file|英格丽向西行.Ingrid.Goes.West.2017.1080p.BluRay.H264.AAC.中英双语.风骨字幕组(pniao.com).mp4|1320031660|5002c78b6c06a9e2602e626eecb9a927|h=mcb54ho75jqofcbeytbw3ezujxflhzne|/, magnet:?xt=urn:btih:A1732A100705A45A12F365F666B0EC140D978A16&www=pniao.com, magnet:?xt=urn:btih:16c6fbf014ac2db98111e59b2054fb0e9c2f0494&www=pniao.com, magnet:?xt=urn:btih:9f4a59ce10d3575545d7d9c02c1559dd2a52903c&www=pniao.com",马特·斯派克,奥布瑞·普拉扎,"剧情,喜剧",美国,6.1,15,奥布瑞·普拉扎和“奥妹”伊丽莎白·奥尔森主演的喜剧片，小成本美国独立电影，讲述了疯狂迷恋网络生活的英格丽(普拉扎饰)现实生活却一团糟，当她看到另一个网络达人泰勒(奥尔森饰)完美生活后，决定与泰勒结为好友，一场精心策划的虚假姐妹情由此展开
